Archer_C2V1_EU, Archer_C2
TL_WPA8730V1_EU_or_HK, TL_WPA8730
TL_WR902AC, TL_WR902AC
VIGI_NVR1008HV2, VIGI_NVR1008H
TL_WR802NV1, TL_WR802N
NC260V1_EU, NC260
M7350V4_EU, M7350
TL_MR6400V2, TL_MR6400
TD_W8980BV1, TD_W8980B
Archer_C1200V2_US, Archer_C1200
RE580DV1_EU, RE580D
Archer_C8V2, Archer_C8
TL_WPA8630_KITV1, TL_WPA8630_KIT
TL_WR941HPV1, TL_WR941HP
AC50V1_US, AC50
Archer_C8V1_UN, Archer_C8
TL_WA801NDV1, TL_WA801ND
Deco_M4V2, Deco_M4
Archer_D2V1, Archer_D2
TL_WR1043NV5Soporte, TL_WR1043N
TL_MR3420V1, TL_MR3420
Archer_MR400V3_EU, Archer_MR400
TL_WR1043NDV3, TL_WR1043ND
EAP320V2_EU, EAP320
EAP120V1_EU, EAP120
TL_WA850REV4, TL_WA850RE
RE200V1_US, RE200
Archer_VR200, Archer_
TL_WR841N, TL_WR841N
TL_WR940NV4_EU, TL_WR940N
TD_W8980V1, TD_W8980
TL_WR802N, TL_WR802N
Archer_VR300V1_EU, Archer_VR300
TL_WPA8631PV3, TL_WPA8631P
TL_WR740V1, TL_WR740
TL_WPA4530_KITV2_EU, TL_WPA4530_KIT
Archer_C50V1_EU, Archer_C50
Archer_C20i, Archer_C20i
TL_ER6020V2_US, TL_ER6020
TL_WR940NV5_EU, TL_WR940N
EAP330V1_EU__V2_EU, EAP330V1_EU__
CPE605V1_AU, CPE605
TL_WR941NDV2V3, TL_WR941NDV2
WR841NV12_KR, WR841N
Archer_C3150V1_EU, Archer_C3150
Archer_MR600V1_EU, Archer_MR600
Archer_MR400V2_EU, Archer_MR400
Archer_C7V2_KR, Archer_C7
TL_R600VPNV4_US, TL_R600VPN
TL_WR941NDV5, TL_WR941ND
CPE610V2_AE, CPE610
Archer_C20V1_JP, Archer_C20
Deco_M3WV1_US, Deco_M3W
TL_MR3420, TL_MR3420
TL_WR741NDV4.2, TL_WR741ND
TL_WA890EAV1, TL_WA890EA
RE360V1_US, RE360
M7200V1_EU, M7200
Archer_AX11000V1_EU, Archer_AX11000
TL_WA860REV5, TL_WA860RE
WR841NV14_EU, WR841N
Archer_C1200V3_US, Archer_C1200
M7350V5_EU, M7350
Archer_C7V4_EU, Archer_C7
Deco_E4RV1_US, Deco_E4R
M7200V3_EU, M7200
TL_WR740NV2_US, TL_WR740N
Archer_C55V1_KR, Archer_C55
TA_WA801NDV4_EU, TA_WA801ND
RE590TV1_US, RE590T
NC260V2_EU, NC260
Archer_C58HPV1_EU, Archer_C58HP
TL_WR841HPV1, TL_WR841HP
Archer_C1200V1_US, Archer_C1200
Archer_VR2800vV1_DE, Archer_VR2800v
TL_WA901NDV1, TL_WA901ND
Archer_MR200V5.2_EU, Archer_MR200
TL_WA901NDV4_EU, TL_WA901ND
TL_WR941ND, TL_WR941ND
TL_WPA7510V1_US, TL_WPA7510
TL_WR840NV2_EU, TL_WR840N
TL_WR710N, TL_WR710N
CPE220V3.0_AR, CPE220
TL_WA854REV1, TL_WA854RE
EAP330V2_EU, EAP330
Archer_VR300V2_EU, Archer_VR300
Archer_AX10V1_EU, Archer_AX10
TD_8616, TD_8616
TL_WA701NDV2, TL_WA701ND
OC200V2, OC200
TL_WR1043ND, TL_WR1043ND
TL_WR741ND, TL_WR741ND
Archer_AX1500V1.2_EU, Archer_AX1500
Archer_C50V3_EU, Archer_C50
TL_WA7210NV2, TL_WA7210N
TL_WR802NV2_EU, TL_WR802N
Archer_D9V1, Archer_D9
EAP320V1_EU, EAP320
TD_8840V4, TD_8840
Archer_AX1500V1_EU, Archer_AX1500
Archer_MR200V5_EU, Archer_MR200
TL_WR841HPV3_EU, TL_WR841HP
