sku, description, model, sku region, lifecycle phase, eolDate, eosDate
A0101, LINKSYS VELOP A0101 AC1300 1PK, A01, USA, End of Life, 10-Aug-2020, 15-Jun-2025
A0101-AH, LINKSYS VELOP A0101 AC1300 1PK, A01, Asia, End of Life, 29-Aug-2022, 4-Jul-2027
A0101-AU, LINKSYS VELOP A0101 AC1300 1PK, A01, Australia and New Zealand, End of Life, 29-Aug-2022, 4-Jul-2027
A0101-CA, LINKSYS VELOP A0101 AC1300 1PK, A01, Canada, End of Life, 6-Nov-2023, 10-Sep-2028
A0101-CA1, LINKSYS VELOP A0101 AC1300 1PK, A01, Canada, End of Life, 6-Nov-2023, 10-Sep-2028
A0101-CN, LINKSYS VELOP A0101 AC1300 1PK, A01, Asia, End of Life, 29-Aug-2022, 4-Jul-2027
A0101-EU, LINKSYS VELOP A0101 AC1300 1PK, A01, Europe. UK. Middle East and Africa, End of Life, 29-Aug-2022, 4-Jul-2027
A0101-JP, LINKSYS VELOP A0101 AC1300 1PK, A01, Asia, End of Life, 29-Aug-2022, 4-Jul-2027
A0101-KR, LINKSYS VELOP A0101 AC1300 1PK, A01, Asia, End of Life, 29-Aug-2022, 4-Jul-2027
A0101-ME, LINKSYS VELOP A0101 AC1300 1PK, A01, Europe. UK. Middle East and Africa, End of Life, 29-Aug-2022, 4-Jul-2027
A0101-UK, LINKSYS VELOP A0101 AC1300 1PK, A01, Europe. UK. Middle East and Africa, End of Life, 29-Aug-2022, 4-Jul-2027
A0101-US, LINKSYS VELOP A0101 AC1300 1PK, A01, USA, End of Life, 6-Nov-2023, 10-Sep-2028
A0301, LINKSYS VELOP A0301 AC2200 1PK - APPLE, A03, USA, End of Life, 10-Aug-2020, 15-Jun-2025
A0301-AH, LINKSYS VELOP A0301 AC2200 1PK - APPLE, A03, Asia, End of Life, 29-Aug-2022, 4-Jul-2027
A0301-AU, LINKSYS VELOP A0301 AC2200 1PK - APPLE, A03, Australia and New Zealand, End of Life, 29-Aug-2022, 4-Jul-2027
A0301-CA, LINKSYS VELOP A0301 AC2200 1PK - APPLE, A03, Canada, End of Life, 29-Aug-2022, 4-Jul-2027
A0301-CA1, LINKSYS VELOP A0301 AC2200 1PK - APPLE, A03, Canada, End of Life, 29-Aug-2022, 4-Jul-2027
A0301-CN, LINKSYS VELOP A0301 AC2200 1PK - APPLE, A03, Asia, End of Life, 29-Aug-2022, 4-Jul-2027
A0301-EU, LINKSYS VELOP A0301 AC2200 1PK - APPLE, A03, Europe. UK. Middle East and Africa, End of Life, 29-Aug-2022, 4-Jul-2027
A0301-HK, LINKSYS VELOP A0301 AC2200 1PK - APPLE, A03, Asia, End of Life, 29-Aug-2022, 4-Jul-2027
A0301-JP, LINKSYS VELOP A0301 AC2200 1PK - APPLE, A03, Asia, End of Life, 29-Aug-2022, 4-Jul-2027
A0301-KR, LINKSYS VELOP A0301 AC2200 1PK - APPLE, A03, Asia, End of Life, 29-Aug-2022, 4-Jul-2027
A0301-ME, LINKSYS VELOP A0301 AC2200 1PK - APPLE, A03, Europe. UK. Middle East and Africa, End of Life, 29-Aug-2022, 4-Jul-2027
A0301-UK, LINKSYS VELOP A0301 AC2200 1PK - APPLE, A03, Europe. UK. Middle East and Africa, End of Life, 29-Aug-2022, 4-Jul-2027
A0301-US, LINKSYS VELOP A0301 AC2200 1PK - APPLE, A03, USA, End of Life, 29-Aug-2022, 4-Jul-2027
AE1200-CA, LINKSYS AE1200 WIFI ADAPTER.N300, AE1200, Canada, End of Life, 21-Sep-2022, 27-Jul-2027
AE1200-EU, LINKSYS AE1200 WIFI ADAPTER.N300, AE1200, Europe. UK. Middle East and Africa, End of Life, 28-Jul-2021, 2-Jun-2026
AE1200-LA, LINKSYS AE1200 WIFI ADAPTER.N300, AE1200, Latin America and South America, End of Life, 12-Oct-2021, 17-Aug-2026
AE6000, LINKSYS AE6000 WIFI ADAPTER.AC600, AE6000, USA, End of Life, 12-Oct-2021, 17-Aug-2026
AE6000-CA, LINKSYS AE6000 WIFI ADAPTER.AC600, AE6000, Canada, End of Life, 21-Sep-2022, 27-Jul-2027
AE6000-EE, LINKSYS AE6000 WIFI ADAPTER.AC600, AE6000, Europe. UK. Middle East and Africa, End of Life, 19-Aug-2019, 23-Jun-2024
AE6000-EU, LINKSYS AE6000 WIFI ADAPTER.AC600, AE6000, Europe. UK. Middle East and Africa, End of Life, 19-Aug-2019, 23-Jun-2024
